Unnamed: 0,region_code,order_submited_date,order_submited_datetime,parent_category,category,product_id,product_name,cost,benchmark,median_bench,avg_bench,max_bench,gross_price,net_price,quantity,product_step_unit,benchmark_count
85346,BOG,2023-10-16,2023-10-16 02:51,Frutas & verduras,Tubérculos,-3386165639547488916,Papa Criolla Lavada Semi (Mediana) Kg,3069.9237,3372.0,3372.0,3372.0,3372.0,3880.0,3775.24,5.0,2.5,1.0
67435,BOG,2023-10-16,2023-10-16 03:11,Frutas & verduras,Verduras,-1160551012065768576,Champiñón Blanco Paris 1Kg Bandeja,22328.3075,23000.0,23000.0,23000.0,23000.0,23010.0,23010.0,1.0,1.0,1.0
153863,BOG,2023-10-16,2023-10-16 03:36,Frutas & verduras,Verduras,7749572820280257375,Cebolla Cabezona Roja Sin Pelar Tamaño Mixto Desde 2Kg,4345.9175,2292.0,2292.0,2292.0,2292.0,2449.84,2320.0,2.0,1.0,1.0
220740,BOG,2023-10-16,2023-10-16 03:50,Frutas & verduras,Verduras,-6536998881607504388,Apio Estándar (Grande) Atado,615.0477,1300.0,1300.0,1300.0,1300.0,1500.0,1500.0,2.0,1.0,1.0
313954,BOG,2023-10-16,2023-10-16 03:50,Frutas & verduras,Verduras,-882794291467029550,Pimentón Maduración Mixta Semi (Mediano / Nataly) Desde 2Kg,1821.8443,3500.0,3500.0,3500.0,3500.0,3550.0,3550.0,2.0,1.0,1.0
250662,BOG,2023-10-16,2023-10-16 04:05,Frutas & verduras,Verduras,-882794291467029550,Pimentón Maduración Mixta Semi (Mediano / Nataly) Desde 2Kg,1821.8443,3500.0,3500.0,3500.0,3500.0,3290.0,3290.0,5.0,1.0,1.0
236897,BOG,2023-10-16,2023-10-16 04:11,Frutas & verduras,Verduras,-882794291467029550,Pimentón Maduración Mixta Semi (Mediano / Nataly) Desde 2Kg,1821.8443,3500.0,3500.0,3500.0,3500.0,3550.0,3550.0,2.0,1.0,1.0
33974,BOG,2023-10-16,2023-10-16 04:11,Frutas & verduras,Verduras,3038455164096626586,Guatila Estándar Kg,1483.0919,2000.0,2000.0,2000.0,2000.0,1880.0,1880.0,1.0,1.0,1.0
85347,BOG,2023-10-16,2023-10-16 04:30,Frutas & verduras,Frutas,1260412819932663981,Fresa Selecta (Grande) Kg,8875.2016,10714.0,10714.0,10714.0,10714.0,11410.0,11410.0,1.0,1.0,1.0
119426,BOG,2023-10-16,2023-10-16 04:36,Frutas & verduras,Verduras,7749572820280257375,Cebolla Cabezona Roja Sin Pelar Tamaño Mixto Desde 2Kg,4345.9175,2292.0,2292.0,2292.0,2292.0,2449.84,2320.0,3.0,1.0,1.0
19328,BOG,2023-10-16,2023-10-16 05:30,Frutas & verduras,Verduras,-6536998881607504388,Apio Estándar (Grande) Atado,615.0477,1300.0,1300.0,1300.0,1300.0,1380.0,1342.74,3.0,3.0,1.0
