date,country_code,holiday_name,holiday_type,is_holiday,is_holiday_day_after,is_holiday_two_days_after,is_holiday_day_before,is_holiday_two_days_before,main_activity,second_activity,third_activity
1/1/2023,CO,New Year's Day,National,TRUE,FALSE,FALSE,TRUE,FALSE,big party,family,0
1/9/2023,CO,Epiphany,National,TRUE,FALSE,FALSE,FALSE,FALSE,travel,long weekend,0
3/8/2023,CO,Women's Day,Observance,TRUE,FALSE,FALSE,FALSE,FALSE,corporate events,0,0
3/20/2023,CO,Saint Joseph's Day,National,TRUE,FALSE,FALSE,FALSE,FALSE,travel,long weekend,0
4/2/2023,CO,Palm Sunday,Observance,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0
4/6/2023,CO,Maundy Thursday,National,TRUE,TRUE,FALSE,FALSE,FALSE,travel,long weekend,0
4/7/2023,CO,Good Friday,National,TRUE,FALSE,TRUE,TRUE,FALSE,travel,long weekend,0
4/9/2023,CO,Easter Sunday,Observance,TRUE,FALSE,FALSE,FALSE,TRUE,travel,long weekend,0
4/23/2023,CO,Language Day,Observance,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0
4/26/2023,CO,Secretaries' Day,Observance,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0
4/29/2023,CO,Day of Trees,Observance,TRUE,FALSE,TRUE,FALSE,FALSE,0,0,0
5/1/2023,CO,Labor Day / May Day,National,TRUE,FALSE,FALSE,FALSE,TRUE,family,stay at home,0
5/14/2023,CO,Mother's Day,Observance,TRUE,TRUE,FALSE,FALSE,FALSE,family,dine out,0
5/15/2023,CO,Teacher's Day,Observance,TRUE,FALSE,FALSE,TRUE,FALSE,0,0,0
5/22/2023,CO,Ascension Day,National,TRUE,FALSE,FALSE,FALSE,FALSE,travel,long weekend,0
6/12/2023,CO,Corpus Christi,National,TRUE,FALSE,FALSE,FALSE,FALSE,travel,long weekend,0
6/18/2023,CO,Father's Day,Observance,TRUE,TRUE,FALSE,FALSE,FALSE,family,dine out,0
6/19/2023,CO,Sacred Heart,National,TRUE,FALSE,TRUE,TRUE,FALSE,travel,long weekend,0
6/21/2023,CO,June Solstice,Seasonal,TRUE,FALSE,FALSE,FALSE,TRUE,0,0,0
7/3/2023,CO,Feast of Saint Peter and Saint Paul,National,TRUE,FALSE,FALSE,FALSE,FALSE,travel,long weekend,0
7/20/2023,CO,Independence Day,National,TRUE,FALSE,FALSE,FALSE,FALSE,family,stay at home,0
8/7/2023,CO,Battle of Boyacá Day,National,TRUE,FALSE,FALSE,FALSE,FALSE,family,stay at home,0
8/21/2023,CO,Assumption of Mary,National,TRUE,FALSE,FALSE,FALSE,FALSE,travel,long weekend,0
9/16/2023,CO,Valentine's Day,Observance,TRUE,FALSE,FALSE,FALSE,FALSE,going out,dine out,big party
9/23/2023,CO,September Equinox,Seasonal,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0
10/16/2023,CO,Columbus Day,National,TRUE,FALSE,FALSE,FALSE,FALSE,travel,long weekend,0
10/31/2023,CO,Halloween,Observance,TRUE,FALSE,FALSE,FALSE,FALSE,going out,big party,0
11/6/2023,CO,All Saints' Day,National,TRUE,FALSE,FALSE,FALSE,FALSE,travel,long weekend,0
11/13/2023,CO,Independence of Cartagena,National,TRUE,TRUE,FALSE,FALSE,FALSE,travel,long weekend,0
11/14/2023,CO,Colombian Women's Day,Observance,TRUE,FALSE,FALSE,TRUE,FALSE,0,0,0
12/7/2023,CO,Eve of the Feast of the Immaculate Conception,Observance,TRUE,TRUE,FALSE,FALSE,FALSE,family,going out,0
12/8/2023,CO,Feast of the Immaculate Conception,National,TRUE,FALSE,FALSE,TRUE,FALSE,family,stay at home,0
12/21/2023,CO,December Solstice,Seasonal,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,0
12/24/2023,CO,Christmas Eve,Observance,TRUE,TRUE,FALSE,FALSE,FALSE,travel,long weekend,0
12/25/2023,CO,Christmas Day,National,TRUE,FALSE,FALSE,TRUE,FALSE,travel,long weekend,0
12/31/2023,CO,New Year's Eve,Observance,TRUE,TRUE,FALSE,FALSE,FALSE,travel,big party,0
